title,source,date,link
Video | Blusmart: EV Scam Jolts India's Startup Scene,NDTV,1 day ago,https://www.ndtv.com/video/ev-news-blusmart-ev-scam-jolts-india-s-startup-scene-927376
"Get Latest News, India News, Breaking News, Today's News - NDTV.com",NDTV,"Oct 8, 2005",https://www.ndtv.com/
"After Congress' Stock Market Charge, BJP's ""5th Largest Economy"" Rebuttal",NDTV,"Jun 7, 2024",https://www.ndtv.com/india-news/bjp-hits-back-at-congress-stock-market-charge-says-indian-investors-earned-on-june-4-5835879
"Exit Polls Drive Markets To Record High, Investors Richer By Rs 12 Lakh Crore",NDTV,"Jun 3, 2024",https://www.ndtv.com/india-news/massive-jump-in-stock-market-after-exit-polls-predict-big-bjp-win-5804282
Video | Massive Jump In Stock Market After Exit Polls Predict Big BJP Win,NDTV,"Jun 3, 2024",https://www.ndtv.com/video/massive-jump-in-stock-market-after-exit-polls-predict-big-bjp-win-799034
Video | Markets Were Hit Due To Exit Poll Results: Top Investor To NDTV,NDTV,"Jun 8, 2024",https://www.ndtv.com/video/markets-were-hit-due-to-exit-poll-results-top-investor-to-ndtv-801094
3 Possible Lok Sabha Election Outcomes And How Markets Could React,NDTV,"May 31, 2024",https://www.ndtv.com/business-news/lok-sabha-election-2024-how-markets-may-react-to-the-outcome-5783396
"Sensex Crashes By 6,000 Points On Counting Day, Memes Flood Social Media",NDTV,"Jun 4, 2024",https://www.ndtv.com/business-news/sensex-crashes-by-6-000-points-on-counting-day-memes-flood-social-media-5814198
"Exit Polls: Rahul Gandhi's Dig At PM, Akhilesh Yadav's ""Chronology"" Post",NDTV,"Jun 2, 2024",https://www.ndtv.com/india-news/pm-narendra-modi-rahul-gandhi-2024-lok-sabha-election-pm-modis-fantasy-poll-rahul-gandhi-responds-to-bjp-sweep-predictions-5799499
"Rahul Gandhi Conspiring To Scare Domestic, Foreign Investors: BJP",NDTV,"Jun 6, 2024",https://www.ndtv.com/india-news/rahul-gandhi-conspiring-to-scare-domestic-foreign-investors-bjp-5833986
"Video | Don't Believe In Exit Polls, Congress Will Do Well: Shama Mohamed",NDTV,"Mar 7, 2022",https://www.ndtv.com/video/poll-of-exit-polls-don-t-believe-in-exit-polls-congress-will-do-well-shama-mohamed-623373
Video | Amit Shah Denies Links Between Election And Share Market,NDTV,"May 29, 2024",https://www.ndtv.com/video/amit-shah-denies-links-between-election-and-share-market-789233
"Sensex Up 2,000 Points A Day After Market Crashed Amid Election Results",NDTV,"Jun 5, 2024",https://www.ndtv.com/india-news/sensex-up-1-400-points-a-day-after-market-crashed-amid-election-results-5821991
Opinion: Why The 2024 Lok Sabha Polls Will Be A Decisive Verdict,NDTV,"Mar 11, 2024",https://www.ndtv.com/opinion/why-the-2024-lok-sabha-polls-will-be-a-decisive-verdic-5218560
"Ndtv Exit Poll: Latest News, Photos, Videos on Ndtv Exit Poll - NDTV.COM",NDTV,"Sep 23, 2017",https://www.ndtv.com/topic/ndtv-exit-poll
