video_url,comment
https://www.youtube.com/watch?v=lmWHv7BeiWk,I am congress supporter but i accept Modi will continue rule as PM. BJP will not let congress to win at any cost.
https://www.youtube.com/watch?v=lmWHv7BeiWk,Rahul 
https://www.youtube.com/watch?v=lmWHv7BeiWk,BJP WILL WIN 436 SEATS(80%)
https://www.youtube.com/watch?v=lmWHv7BeiWk,"Had the exit polls showed in Khangress favour, they would have praised them !  It is Just similar to blaming EVM where they didn’t win."
https://www.youtube.com/watch?v=lmWHv7BeiWk,BJP will win till tonight and Congress will win from tomorrow
https://www.youtube.com/watch?v=lmWHv7BeiWk,"Sycophants having no mass-connect rule Lutyens empire. Parachuted from the top such people are incapable of fighting general election on their own but because of proximity to Gandhis usually enter Rajya Sabha, acquire ministerial posts, clout & prominence before trying their hand at LS election. In the process they jeopardize the rights of mass leaders who rise from the grass roots. 
Leaders like Man Mohan Singh, late Ahmed Patel, Abhishek Manu Singhvi, Kapil Sibal, Mani Shankar Aiyar, Shashi Tharoor (who was thrust from the top replacing hard core worker ) & P. Chidambaram (who won LS due to Indira-assassination wave) are essentially Rajya Sabhahis without ears to the ground & with no outreach to the masses. 
Jairam Ramesh, Sam Pitroda are latest additions.  
The G-23 group of mainly grass root  leaders of Congress after its 2019 defeat questioned the quality of leadership but were deserted & sabotage by sycophant Rajyasabhahis & Congress has now paid price in 2024. 
Congress is full of top infiltrated leaders & they are responsible for present plight of the Congress They are self-serving, risk-averse & totally disconnected from the masses.
Congress Manifesto also seem to have been made by Rajyasabhais. Their foolish unbelievable promises of Lakhs of rupees as doles can't fool people. Their Rs.72,000 bait didn't fool people in 2019. ""Insanity is  doing same thing again & again and expecting a different result"" ( Albert Einstein). Sycophants rule the roost in  Congress Party & the party loses touch with the masse. Unless this is reversed Congress is doomed."
https://www.youtube.com/watch?v=lmWHv7BeiWk,Try to do something good for the public by Rahul and Akilesh and next time we will see. How can a person. from jail speak ?????
https://www.youtube.com/watch?v=lmWHv7BeiWk,Indi alliance confirmed there victory pre&post... Syrvey... Becz in immagination... Anyone....
https://www.youtube.com/watch?v=lmWHv7BeiWk,"Bye bye bjp
Bye bye godi"
https://www.youtube.com/watch?v=lmWHv7BeiWk,Cry godi media
