comment,sentiment
Only godi media declar that bjp win let see on 4th june,0.5859
"Just wait for 4th June, don't waste your time sleep.",0.3252
"Simple words no confusion, again MODI IS PM",0.2235
"My poll BJP 378 + nda 422 look what is the real result .,.",0.0
Modi ji need India 400+ okkkkkkkkkkkkk PM modi ji,0.0
Why congress is continuing with Rahul Gandhi if Congress give chance to  outsider i think congress wouldn't  be so weak,-0.4101
Only bjp,0.0
Is baar phir Modiji ka Sarkar,0.0
Only bjp modi hain toh mumkin hai,0.0
Now godi media is,0.0
godi media only,0.0
386 Sets NDA,0.0
Modi only requires 370 seats to bring some special changes to the country,0.4019
BJP sarkaar Modi ji total sit 187   Indian 2024 fully fall,-0.6573
BJP,0.0
Where is 400 par?,0.0
Godi media of modani started to keep shouting.,0.0
"Until Congress openly apologises to majority community for ignoring their religious sentiments, until it assures it won't repeat minority appeasement, CONG & TEAM WON'T WIN. Such a simple fact they don't want to understand.",-0.5325
"Considerable amount of payment will be made to these medias by the BJP.
If you said 400+ to BJP, you would be paid more.",0.0
Modi will win 500 seats for sure,0.7269
,0.0
Godi media,0.0
400par bjp,0.0
"Congres sought votes by declaring benefits by clasifying some specific people.but it didn't say that all are same,this is also comunalism and tried devide the contry, that's why the people rejected it",-0.1779
modi shoukd get mire than 400 jai shri ram,0.0
Godi modi media pagal ho chuka h mahamanav har rha h june dalali expired in Indian media,0.0
Jumla sakar bjp,0.0
Godi medias funeral is very close,-0.3612
This is modi news,0.0
Feke news,0.0
The projections are bullshitting,0.0
"357bbjp,win",0.0
"Exit polls shows, Modi's Black Magic Rituals working for him.",0.0
Modi only  papu,0.0
BJP will get 50 to 75 seats throughout India.,0.0
INDIA will clean modiji govt,0.4019
Godi media punishable after june 4th,-0.4404
Godi media,0.0
,0.0
"Congres sought votes by declaring benefits by clasifying some specific people.but it didn't say that all are same,this is also comunalism and tried devide the contry, that's why the people rejected it",-0.1779
"Congres sought votes by declaring benefits by clasifying some specific people.but it didn't say that all are same,this is also comunalism and tried devide the contry, that's why the people rejected it",-0.1779
